Name,Light_Years_From_Earth,Planet_Mass,Stellar_Magnitude,Discovery_Date 
HIP 38594 b,58,8.1 Earths,9.77,2020
HIP 38594 c,58,0.15228 Jupiters,9.77,2020
HIP 41378 b,348,8.75 Earths,8.93,2016
HIP 41378 c,348,7.08 Earths,8.93,2016
HIP 41378 d,348,14.9 Earths,8.93,2016
HIP 41378 e,348,26 Earths,8.93,2016
HIP 41378 f,348,0.233 Jupiters,8.93,2016
HIP 4845 b,69,14.4 Earths,9.99,2020
HIP 48714 b,34,22.9 Earths,8.97,2020
HIP 5158 b,169,1.42 Jupiters,10.167,2009
HIP 5158 c,169,15.04 Jupiters,10.167,2011
HIP 54373 b,61,8.62 Earths,10.38,2019
HIP 54373 c,61,12.44 Earths,10.38,2019
HIP 57274 b,84,6.3566 Earths,8.98,2011
HIP 57274 c,84,0.40902 Jupiters,8.98,2011
HIP 57274 d,84,0.5267 Jupiters,8.98,2011
HIP 41378 f,348,0.233 Jupiters,8.93,2016
HIP 4845 b,69,14.4 Earths,9.99,2020
HIP 48714 b,34,22.9 Earths,8.97,2020
HIP 5158 b,169,1.42 Jupiters,10.167,2009
HIP 5158 c,169,15.04 Jupiters,10.167,2011
HIP 54373 b,61,8.62 Earths,10.38,2019
HIP 54373 c,61,12.44 Earths,10.38,2019
HIP 57274 b,84,6.3566 Earths,8.98,2011
HIP 57274 c,84,0.40902 Jupiters,8.98,2011
HIP 57274 d,84,0.5267 Jupiters,8.98,2011
HIP 41378 f,348,0.233 Jupiters,8.93,2016
HIP 4845 b,69,14.4 Earths,9.99,2020
HIP 48714 b,34,22.9 Earths,8.97,2020
HIP 5158 b,169,1.42 Jupiters,10.167,2009
HIP 5158 c,169,15.04 Jupiters,10.167,2011
HIP 54373 b,61,8.62 Earths,10.38,2019
HIP 54373 c,61,12.44 Earths,10.38,2019
HIP 57274 b,84,6.3566 Earths,8.98,2011
HIP 57274 c,84,0.40902 Jupiters,8.98,2011
HIP 57274 d,84,0.5267 Jupiters,8.98,2011
HIP 41378 f,348,0.233 Jupiters,8.93,2016
HIP 4845 b,69,14.4 Earths,9.99,2020
HIP 48714 b,34,22.9 Earths,8.97,2020
HIP 5158 b,169,1.42 Jupiters,10.167,2009
HIP 5158 c,169,15.04 Jupiters,10.167,2011
HIP 54373 b,61,8.62 Earths,10.38,2019
HIP 54373 c,61,12.44 Earths,10.38,2019
HIP 57274 b,84,6.3566 Earths,8.98,2011
HIP 57274 c,84,0.40902 Jupiters,8.98,2011
HIP 57274 d,84,0.5267 Jupiters,8.98,2011
HIP 41378 f,348,0.233 Jupiters,8.93,2016
HIP 4845 b,69,14.4 Earths,9.99,2020
HIP 48714 b,34,22.9 Earths,8.97,2020
HIP 5158 b,169,1.42 Jupiters,10.167,2009
HIP 5158 c,169,15.04 Jupiters,10.167,2011
HIP 54373 b,61,8.62 Earths,10.38,2019
HIP 54373 c,61,12.44 Earths,10.38,2019
HIP 57274 b,84,6.3566 Earths,8.98,2011
HIP 57274 c,84,0.40902 Jupiters,8.98,2011
HIP 57274 d,84,0.5267 Jupiters,8.98,2011
HIP 41378 f,348,0.233 Jupiters,8.93,2016
HIP 4845 b,69,14.4 Earths,9.99,2020
HIP 48714 b,34,22.9 Earths,8.97,2020
HIP 5158 b,169,1.42 Jupiters,10.167,2009
HIP 5158 c,169,15.04 Jupiters,10.167,2011
HIP 54373 b,61,8.62 Earths,10.38,2019
HIP 54373 c,61,12.44 Earths,10.38,2019
HIP 57274 b,84,6.3566 Earths,8.98,2011
HIP 57274 c,84,0.40902 Jupiters,8.98,2011
HIP 57274 d,84,0.5267 Jupiters,8.98,2011
HIP 63242 b,513,9.18 Jupiters,6.871,2013
HIP 65407 b,181,0.428 Jupiters,9.42,2016
HIP 65407 c,181,0.784 Jupiters,9.42,2016
HIP 65426 b,363,9 Jupiters,6.982,2017
HIP 65891 b,444,6 Jupiters,6.75,2015
HIP 65 A b,202,3.213 Jupiters,11.13,2020
HIP 67522 b,415,0.228 Jupiters,9.802,2020
HIP 67537 b,367,11.1 Jupiters,6.44,2017
HIP 67851 b,215,1.38 Jupiters,6.17,2015
HIP 67851 c,215,6.3 Jupiters,6.17,2015
HIP 63242 b,513,9.18 Jupiters,6.871,2013
HIP 65407 b,181,0.428 Jupiters,9.42,2016
HIP 65407 c,181,0.784 Jupiters,9.42,2016
HIP 65426 b,363,9 Jupiters,6.982,2017
HIP 65891 b,444,6 Jupiters,6.75,2015
HIP 65 A b,202,3.213 Jupiters,11.13,2020
HIP 67522 b,415,0.228 Jupiters,9.802,2020
HIP 67537 b,367,11.1 Jupiters,6.44,2017
HIP 67851 b,215,1.38 Jupiters,6.17,2015
HIP 67851 c,215,6.3 Jupiters,6.17,2015
HIP 63242 b,513,9.18 Jupiters,6.871,2013
HIP 65407 b,181,0.428 Jupiters,9.42,2016
HIP 65407 c,181,0.784 Jupiters,9.42,2016
HIP 65426 b,363,9 Jupiters,6.982,2017
HIP 65891 b,444,6 Jupiters,6.75,2015
HIP 65 A b,202,3.213 Jupiters,11.13,2020
HIP 67522 b,415,0.228 Jupiters,9.802,2020
HIP 67537 b,367,11.1 Jupiters,6.44,2017
HIP 67851 b,215,1.38 Jupiters,6.17,2015
HIP 67851 c,215,6.3 Jupiters,6.17,2015
HIP 70849 b,79,9 Jupiters,10.36,2009
HIP 71135 b,106,18.8 Earths,10.542,2019
HIP 74890 b,298,2.4 Jupiters,7.05,2016
HIP 78530 b,511,23 Jupiters,7.192,2010
HIP 79098 AB b,477,20.5 Jupiters,5.86,2019
HIP 79431 b,47,2.1 Jupiters,11.34,2009
HIP 8541 b,550,5.5 Jupiters,7.88,2016
HIP 91258 b,150,1.09 Jupiters,8.646,2013
HIP 97233 b,335,20 Jupiters,7.34,2014
HN Pegasi b,59,21.9987 Jupiters,5.95,2006
HR 2562 b,111,30 Jupiters,6.11,2016
HR 5183 b,103,3.23 Jupiters,6.3,2019
HR 810 b,57,2.27 Jupiters,5.41,1999
HR 858 b,104,5 Earths,6.4,2019
HR 858 c,104,4.42 Earths,6.4,2019
HR 858 d,104,5.32 Earths,6.4,2019
HR 8799 b,129,7 Jupiters,5.953,2008
HR 8799 c,129,10 Jupiters,5.953,2008
HR 8799 d,129,10 Jupiters,5.953,2008
HR 8799 e,129,10 Jupiters,5.953,2010
HU Aquarii AB b,627,5.9 Jupiters,16.472,2011
HU Aquarii AB c,627,4.5 Jupiters,16.472,2011
HW Virginis b,590,14.48228 Jupiters,10.692,2012
IC 4651 9122 b,2869,6.3 Jupiters,10.534,2018
Iota Draconis b,103,8.82 Jupiters,3.29,2002
K2-100 b,620,12.6 Earths,10.651,2016
K2-101 b,618,4.66 Earths,12.957,2016
K2-102 b,617,2.24 Earths,13.2,2016
K2-104 b,620,4.5 Earths,15.395,2016
K2-105 b,650,30 Earths,11.752,2017
K2-117 b,333,4.78 Earths,14.655,2017
K2-117 c,333,4.9 Earths,14.655,2017
K2-118 b,1059,6.99 Earths,14.049,2017
K2-119 b,1206,6.94 Earths,14.883,2017
K2-11 b,1084,0.14 Jupiters,13.386,2015
K2-120 b,944,4.7 Earths,14.045,2017
K2-121 b,556,0.138 Jupiters,13.319,2017
K2-122 b,235,1.92 Earths,13.15,2017
K2-123 b,530,8.05 Earths,14.781,2017
K2-124 b,458,8.75 Earths,15.462,2017
K2-117 b,333,4.78 Earths,14.655,2017
K2-117 c,333,4.9 Earths,14.655,2017
K2-118 b,1059,6.99 Earths,14.049,2017
K2-119 b,1206,6.94 Earths,14.883,2017
K2-11 b,1084,0.14 Jupiters,13.386,2015
K2-120 b,944,4.7 Earths,14.045,2017
K2-121 b,556,0.138 Jupiters,13.319,2017
K2-122 b,235,1.92 Earths,13.15,2017
K2-123 b,530,8.05 Earths,14.781,2017
K2-124 b,458,8.75 Earths,15.462,2017
K2-117 b,333,4.78 Earths,14.655,2017
K2-117 c,333,4.9 Earths,14.655,2017
K2-118 b,1059,6.99 Earths,14.049,2017
K2-119 b,1206,6.94 Earths,14.883,2017
K2-11 b,1084,0.14 Jupiters,13.386,2015
K2-120 b,944,4.7 Earths,14.045,2017
K2-121 b,556,0.138 Jupiters,13.319,2017
K2-122 b,235,1.92 Earths,13.15,2017
K2-123 b,530,8.05 Earths,14.781,2017
K2-124 b,458,8.75 Earths,15.462,2017
K2-117 b,333,4.78 Earths,14.655,2017
K2-117 c,333,4.9 Earths,14.655,2017
K2-118 b,1059,6.99 Earths,14.049,2017
K2-119 b,1206,6.94 Earths,14.883,2017
K2-11 b,1084,0.14 Jupiters,13.386,2015
K2-120 b,944,4.7 Earths,14.045,2017
K2-121 b,556,0.138 Jupiters,13.319,2017
K2-122 b,235,1.92 Earths,13.15,2017
K2-123 b,530,8.05 Earths,14.781,2017
K2-124 b,458,8.75 Earths,15.462,2017
K2-117 b,333,4.78 Earths,14.655,2017
K2-117 c,333,4.9 Earths,14.655,2017
K2-118 b,1059,6.99 Earths,14.049,2017
K2-119 b,1206,6.94 Earths,14.883,2017
K2-11 b,1084,0.14 Jupiters,13.386,2015
K2-120 b,944,4.7 Earths,14.045,2017
K2-121 b,556,0.138 Jupiters,13.319,2017
K2-122 b,235,1.92 Earths,13.15,2017
K2-123 b,530,8.05 Earths,14.781,2017
K2-124 b,458,8.75 Earths,15.462,2017
K2-117 b,333,4.78 Earths,14.655,2017
K2-117 c,333,4.9 Earths,14.655,2017
K2-118 b,1059,6.99 Earths,14.049,2017
K2-119 b,1206,6.94 Earths,14.883,2017
K2-11 b,1084,0.14 Jupiters,13.386,2015
K2-120 b,944,4.7 Earths,14.045,2017
K2-121 b,556,0.138 Jupiters,13.319,2017
K2-122 b,235,1.92 Earths,13.15,2017
K2-123 b,530,8.05 Earths,14.781,2017
K2-124 b,458,8.75 Earths,15.462,2017
K2-117 b,333,4.78 Earths,14.655,2017
K2-117 c,333,4.9 Earths,14.655,2017
K2-118 b,1059,6.99 Earths,14.049,2017
K2-119 b,1206,6.94 Earths,14.883,2017
K2-11 b,1084,0.14 Jupiters,13.386,2015
K2-120 b,944,4.7 Earths,14.045,2017
K2-121 b,556,0.138 Jupiters,13.319,2017
K2-122 b,235,1.92 Earths,13.15,2017
K2-123 b,530,8.05 Earths,14.781,2017
K2-124 b,458,8.75 Earths,15.462,2017
K2-125 b,406,5.39 Earths,16.122,2017
K2-126 b,337,4.54 Earths,12.918,2017
K2-127 b,2362,0.167 Jupiters,15.037,2017
K2-128 b,375,2.6 Earths,12.627,2017
K2-129 b,91,1.12 Earths,13.63,2017
K2-12 b,1074,6.04 Earths,12.258,2015
K2-130 b,386,2.1 Earths,12.759,2017
K2-131 b,501,6.3 Earths,12.115,2017
K2-132 b,2024,0.49 Jupiters,11.897,2017
K2-133 b,245,2.36 Earths,14.288,2017
K2-133 c,245,3.2 Earths,14.288,2017
K2-133 d,245,4.67 Earths,14.288,2017
K2-133 e,245,3.64 Earths,14.288,2019
K2-136 b,194,0.937 Earths,10.855,2017
K2-136 c,194,8.8 Earths,10.855,2017
K2-136 d,194,2.7 Earths,10.855,2017
K2-137 b,323,0.5 Jupiters,15.498,2017
K2-138 b,661,2.83 Earths,12.21,2017
K2-138 c,661,5.73 Earths,12.21,2017
K2-138 d,661,6.62 Earths,12.21,2017
K2-133 c,245,3.2 Earths,14.288,2017
K2-133 d,245,4.67 Earths,14.288,2017
K2-133 e,245,3.64 Earths,14.288,2019
K2-136 b,194,0.937 Earths,10.855,2017
K2-136 c,194,8.8 Earths,10.855,2017
K2-136 d,194,2.7 Earths,10.855,2017
K2-137 b,323,0.5 Jupiters,15.498,2017
K2-138 b,661,2.83 Earths,12.21,2017
K2-138 c,661,5.73 Earths,12.21,2017
K2-138 d,661,6.62 Earths,12.21,2017
K2-138 e,661,9.85 Earths,12.21,2017
K2-138 f,661,7.9 Earths,12.21,2017
K2-138 g,661,10.2 Earths,12.21,2021
K2-139 b,504,0.387 Jupiters,11.653,2017
K2-13 b,1128,4.23 Earths,12.901,2015
K2-140 b,1114,1.019 Jupiters,12.624,2017
K2-141 b,202,5.08 Earths,11.389,2018
K2-141 c,202,7.4 Earths,11.389,2018
K2-146 b,259,5.77 Earths,16.248,2018
K2-146 c,259,7.49 Earths,16.248,2019
K2-138 e,661,9.85 Earths,12.21,2017
K2-138 f,661,7.9 Earths,12.21,2017
K2-138 g,661,10.2 Earths,12.21,2021
K2-139 b,504,0.387 Jupiters,11.653,2017
K2-13 b,1128,4.23 Earths,12.901,2015
K2-140 b,1114,1.019 Jupiters,12.624,2017
K2-141 b,202,5.08 Earths,11.389,2018
K2-141 c,202,7.4 Earths,11.389,2018
K2-146 b,259,5.77 Earths,16.248,2018
K2-146 c,259,7.49 Earths,16.248,2019
K2-138 e,661,9.85 Earths,12.21,2017
K2-138 f,661,7.9 Earths,12.21,2017
K2-138 g,661,10.2 Earths,12.21,2021
K2-139 b,504,0.387 Jupiters,11.653,2017
K2-13 b,1128,4.23 Earths,12.901,2015
K2-140 b,1114,1.019 Jupiters,12.624,2017
K2-141 b,202,5.08 Earths,11.389,2018
K2-141 c,202,7.4 Earths,11.389,2018
K2-146 b,259,5.77 Earths,16.248,2018
K2-146 c,259,7.49 Earths,16.248,2019
K2-138 e,661,9.85 Earths,12.21,2017
K2-138 f,661,7.9 Earths,12.21,2017
K2-138 g,661,10.2 Earths,12.21,2021
K2-139 b,504,0.387 Jupiters,11.653,2017
K2-13 b,1128,4.23 Earths,12.901,2015
K2-140 b,1114,1.019 Jupiters,12.624,2017
K2-141 b,202,5.08 Earths,11.389,2018
K2-141 c,202,7.4 Earths,11.389,2018
K2-146 b,259,5.77 Earths,16.248,2018
K2-146 c,259,7.49 Earths,16.248,2019
K2-138 e,661,9.85 Earths,12.21,2017
K2-138 f,661,7.9 Earths,12.21,2017
K2-138 g,661,10.2 Earths,12.21,2021
K2-139 b,504,0.387 Jupiters,11.653,2017
K2-13 b,1128,4.23 Earths,12.901,2015
K2-140 b,1114,1.019 Jupiters,12.624,2017
K2-141 b,202,5.08 Earths,11.389,2018
K2-141 c,202,7.4 Earths,11.389,2018
K2-146 b,259,5.77 Earths,16.248,2018
K2-146 c,259,7.49 Earths,16.248,2019
K2-147 b,287,2.48 Earths,14.019,2018
K2-148 b,395,2.33 Earths,13.507,2018
K2-148 c,395,3.64 Earths,13.507,2018
K2-148 d,395,3.33 Earths,13.507,2018
K2-149 b,385,3.33 Earths,14.484,2018
K2-14 b,1200,20.7 Earths,16.31,2015
K2-150 b,359,4.66 Earths,15.829,2018
K2-151 b,227,2.83 Earths,14.14,2018
K2-152 b,355,5.86 Earths,13.728,2018
K2-153 b,468,4.66 Earths,14.979,2018
K2-147 b,287,2.48 Earths,14.019,2018
K2-148 b,395,2.33 Earths,13.507,2018
K2-148 c,395,3.64 Earths,13.507,2018
K2-148 d,395,3.33 Earths,13.507,2018
K2-149 b,385,3.33 Earths,14.484,2018
K2-14 b,1200,20.7 Earths,16.31,2015
K2-150 b,359,4.66 Earths,15.829,2018
K2-151 b,227,2.83 Earths,14.14,2018
K2-152 b,355,5.86 Earths,13.728,2018
K2-153 b,468,4.66 Earths,14.979,2018
K2-147 b,287,2.48 Earths,14.019,2018
K2-148 b,395,2.33 Earths,13.507,2018
K2-148 c,395,3.64 Earths,13.507,2018
K2-148 d,395,3.33 Earths,13.507,2018
K2-149 b,385,3.33 Earths,14.484,2018
K2-14 b,1200,20.7 Earths,16.31,2015
K2-150 b,359,4.66 Earths,15.829,2018
K2-151 b,227,2.83 Earths,14.14,2018
K2-152 b,355,5.86 Earths,13.728,2018
K2-153 b,468,4.66 Earths,14.979,2018
K2-147 b,287,2.48 Earths,14.019,2018
K2-148 b,395,2.33 Earths,13.507,2018
K2-148 c,395,3.64 Earths,13.507,2018
K2-148 d,395,3.33 Earths,13.507,2018
K2-149 b,385,3.33 Earths,14.484,2018
K2-14 b,1200,20.7 Earths,16.31,2015
K2-150 b,359,4.66 Earths,15.829,2018
K2-151 b,227,2.83 Earths,14.14,2018
K2-152 b,355,5.86 Earths,13.728,2018
K2-153 b,468,4.66 Earths,14.979,2018
K2-147 b,287,2.48 Earths,14.019,2018
K2-148 b,395,2.33 Earths,13.507,2018
K2-148 c,395,3.64 Earths,13.507,2018
K2-148 d,395,3.33 Earths,13.507,2018
K2-149 b,385,3.33 Earths,14.484,2018
K2-14 b,1200,20.7 Earths,16.31,2015
K2-150 b,359,4.66 Earths,15.829,2018
K2-151 b,227,2.83 Earths,14.14,2018
K2-152 b,355,5.86 Earths,13.728,2018
K2-153 b,468,4.66 Earths,14.979,2018
K2-167 b,264,8.34 Earths,8.239,2018
K2-168 b,801,4.12 Earths,12.291,2018
K2-169 b,774,2.16 Earths,12.229,2018
K2-16 b,1103,4.74 Earths,14.67,2015
K2-16 c,1103,6.99 Earths,14.67,2015
K2-170 b,1296,2.6 Earths,12.633,2018
K2-170 c,1296,3.9 Earths,12.633,2018
K2-171 b,2011,7.69 Earths,12.66,2018
K2-172 b,820,3.42 Earths,12.438,2018
K2-172 c,820,10.4 Earths,12.438,2018
K2-182 b,509,8.05 Earths,11.997,2018
K2-183 b,1082,7.27 Earths,12.846,2018
K2-183 c,1082,8.6 Earths,12.846,2018
K2-183 d,1082,8.55 Earths,12.846,2018
K2-184 b,247,3.02 Earths,10.345,2018
K2-185 b,882,2.28 Earths,12.215,2018
K2-186 b,1089,10.2 Earths,12.307,2018
K2-187 b,1088,2.24 Earths,13.081,2018
K2-187 c,1088,3.89 Earths,13.081,2018
K2-187 d,1088,10.2 Earths,13.081,2018
K2-182 b,509,8.05 Earths,11.997,2018
K2-183 b,1082,7.27 Earths,12.846,2018
K2-183 c,1082,8.6 Earths,12.846,2018
K2-183 d,1082,8.55 Earths,12.846,2018
K2-184 b,247,3.02 Earths,10.345,2018
K2-185 b,882,2.28 Earths,12.215,2018
K2-186 b,1089,10.2 Earths,12.307,2018
K2-187 b,1088,2.24 Earths,13.081,2018
K2-187 c,1088,3.89 Earths,13.081,2018
K2-187 d,1088,10.2 Earths,13.081,2018
K2-182 b,509,8.05 Earths,11.997,2018
K2-183 b,1082,7.27 Earths,12.846,2018
K2-183 c,1082,8.6 Earths,12.846,2018
K2-183 d,1082,8.55 Earths,12.846,2018
K2-184 b,247,3.02 Earths,10.345,2018
K2-185 b,882,2.28 Earths,12.215,2018
K2-186 b,1089,10.2 Earths,12.307,2018
K2-187 b,1088,2.24 Earths,13.081,2018
K2-187 c,1088,3.89 Earths,13.081,2018
K2-187 d,1088,10.2 Earths,13.081,2018
K2-182 b,509,8.05 Earths,11.997,2018
K2-183 b,1082,7.27 Earths,12.846,2018
K2-183 c,1082,8.6 Earths,12.846,2018
K2-183 d,1082,8.55 Earths,12.846,2018
K2-184 b,247,3.02 Earths,10.345,2018
K2-185 b,882,2.28 Earths,12.215,2018
K2-186 b,1089,10.2 Earths,12.307,2018
K2-187 b,1088,2.24 Earths,13.081,2018
K2-187 c,1088,3.89 Earths,13.081,2018
K2-187 d,1088,10.2 Earths,13.081,2018
K2-182 b,509,8.05 Earths,11.997,2018
K2-183 b,1082,7.27 Earths,12.846,2018
K2-183 c,1082,8.6 Earths,12.846,2018
K2-183 d,1082,8.55 Earths,12.846,2018
K2-184 b,247,3.02 Earths,10.345,2018
K2-185 b,882,2.28 Earths,12.215,2018
K2-186 b,1089,10.2 Earths,12.307,2018
K2-187 b,1088,2.24 Earths,13.081,2018
K2-187 c,1088,3.89 Earths,13.081,2018
K2-187 d,1088,10.2 Earths,13.081,2018
K2-182 b,509,8.05 Earths,11.997,2018
K2-183 b,1082,7.27 Earths,12.846,2018
K2-183 c,1082,8.6 Earths,12.846,2018
K2-183 d,1082,8.55 Earths,12.846,2018
K2-184 b,247,3.02 Earths,10.345,2018
K2-185 b,882,2.28 Earths,12.215,2018
K2-186 b,1089,10.2 Earths,12.307,2018
K2-187 b,1088,2.24 Earths,13.081,2018
K2-187 c,1088,3.89 Earths,13.081,2018
K2-187 d,1088,10.2 Earths,13.081,2018
K2-182 b,509,8.05 Earths,11.997,2018
K2-183 b,1082,7.27 Earths,12.846,2018
K2-183 c,1082,8.6 Earths,12.846,2018
K2-183 d,1082,8.55 Earths,12.846,2018
K2-184 b,247,3.02 Earths,10.345,2018
K2-185 b,882,2.28 Earths,12.215,2018
K2-186 b,1089,10.2 Earths,12.307,2018
K2-187 b,1088,2.24 Earths,13.081,2018
K2-187 c,1088,3.89 Earths,13.081,2018
K2-187 d,1088,10.2 Earths,13.081,2018
K2-182 b,509,8.05 Earths,11.997,2018
K2-183 b,1082,7.27 Earths,12.846,2018
K2-183 c,1082,8.6 Earths,12.846,2018
K2-183 d,1082,8.55 Earths,12.846,2018
K2-184 b,247,3.02 Earths,10.345,2018
K2-185 b,882,2.28 Earths,12.215,2018
K2-186 b,1089,10.2 Earths,12.307,2018
K2-187 b,1088,2.24 Earths,13.081,2018
K2-187 c,1088,3.89 Earths,13.081,2018
K2-187 d,1088,10.2 Earths,13.081,2018
K2-182 b,509,8.05 Earths,11.997,2018
K2-183 b,1082,7.27 Earths,12.846,2018
K2-183 c,1082,8.6 Earths,12.846,2018
K2-183 d,1082,8.55 Earths,12.846,2018
K2-184 b,247,3.02 Earths,10.345,2018
K2-185 b,882,2.28 Earths,12.215,2018
K2-186 b,1089,10.2 Earths,12.307,2018
K2-187 b,1088,2.24 Earths,13.081,2018
K2-187 c,1088,3.89 Earths,13.081,2018
K2-187 d,1088,10.2 Earths,13.081,2018
K2-182 b,509,8.05 Earths,11.997,2018
K2-183 b,1082,7.27 Earths,12.846,2018
K2-183 c,1082,8.6 Earths,12.846,2018
K2-183 d,1082,8.55 Earths,12.846,2018
K2-184 b,247,3.02 Earths,10.345,2018
K2-185 b,882,2.28 Earths,12.215,2018
K2-186 b,1089,10.2 Earths,12.307,2018
K2-187 b,1088,2.24 Earths,13.081,2018
K2-187 c,1088,3.89 Earths,13.081,2018
K2-187 d,1088,10.2 Earths,13.081,2018
K2-192 b,731,2.92 Earths,12.704,2018
K2-193 b,1360,14.8 Earths,13.251,2018
K2-194 b,2090,12.9 Earths,12.908,2018
K2-195 b,1037,9.96 Earths,12.497,2018
K2-195 c,1037,7.16 Earths,12.497,2018
K2-196 b,1938,12.6 Earths,12.06,2018
K2-197 b,814,7.08 Earths,12.157,2018
K2-198 b,362,16.3 Earths,10.971,2018
K2-198 c,362,2.61 Earths,10.971,2019
K2-198 d,362,6.52 Earths,10.971,2019
K2-199 b,352,4.16 Earths,12.289,2018
K2-199 c,352,8.15 Earths,12.289,2018
K2-19 b,953,28.5 Earths,13,2015
K2-19 c,953,15.9 Earths,13,2015
K2-19 d,953,14 Earths,13,2016
K2-200 b,604,2.43 Earths,12.459,2018
K2-201 b,649,2.54 Earths,12.809,2018
K2-201 c,649,10.8 Earths,12.809,2018
K2-202 b,988,5.91 Earths,13.297,2018
K2-203 b,545,2.45 Earths,12.353,2018
K2-204 b,1914,9.51 Earths,13.01,2018
K2-205 b,1337,4.64 Earths,12.391,2018
K2-206 b,803,8.22 Earths,13.1,2018
K2-207 b,1197,7.3 Earths,13.166,2018
K2-208 b,844,3.46 Earths,12.503,2018
K2-209 b,250,0.586 Earths,11.205,2018
K2-210 b,579,0.474 Earths,11.535,2018
K2-211 b,895,2.46 Earths,13.075,2018
K2-212 b,357,6.9 Earths,13.1,2018
K2-213 b,1285,2.9 Earths,11.803,2018
K2-214 b,989,6.48 Earths,11.805,2018
K2-215 b,1333,5.16 Earths,12.986,2018
K2-216 b,378,8 Earths,12.476,2018
K2-217 b,1259,12.5 Earths,12.187,2018
K2-218 b,1300,7.13 Earths,12.876,2018
K2-219 b,1071,2.38 Earths,12.09,2018
K2-219 c,1071,2.66 Earths,12.09,2018
K2-219 d,1071,7.16 Earths,12.09,2018
K2-21 b,274,4.04 Earths,12.85,2015
K2-21 c,274,6.76 Earths,12.85,2015
K2-220 b,766,6.3 Earths,11.89,2018
K2-221 b,1049,3.46 Earths,12.703,2018
K2-222 b,331,6.3 Earths,9.543,2018
K2-223 b,656,0.64 Earths,11.431,2018
K2-223 c,656,3.09 Earths,11.431,2018
K2-224 b,906,3.05 Earths,12.682,2018
K2-224 c,906,6.39 Earths,12.682,2018
K2-225 b,1175,12 Earths,11.836,2018
K2-226 b,689,2.99 Earths,12.308,2018
K2-227 b,614,3.41 Earths,12.015,2018
K2-228 b,465,1.92 Earths,12.995,2018
K2-229 b,339,2.49 Earths,10.985,2018
K2-229 c,339,21.3 Earths,10.985,2018
K2-22 b,801,1.4 Jupiters,15.597,2015
K2-230 b,1791,4.5 Earths,12.707,2018
K2-231 b,962,6.8 Earths,12.708,2018
K2-232 b,428,0.398 Jupiters,9.899,2018
K2-233 b,221,2.54 Earths,10.726,2018
K2-233 c,221,2.34 Earths,10.726,2018
K2-233 d,221,7.46 Earths,10.726,2018
K2-243 c,878,4.7 Earths,10.97,2018
K2-244 b,698,3.71 Earths,11.78,2018
K2-245 b,1512,17.4 Earths,12.212,2018
K2-246 b,2359,12 Earths,14.55,2018
K2-247 b,849,5.14 Earths,14.956,2018
K2-247 c,849,5.43 Earths,14.956,2018
K2-248 b,1339,7.13 Earths,13.402,2018
K2-249 b,1723,8.2 Earths,11.827,2018
K2-24 b,559,19 Earths,11.07,2016
K2-24 c,559,15.4 Earths,11.07,2016
K2-243 c,878,4.7 Earths,10.97,2018
K2-244 b,698,3.71 Earths,11.78,2018
K2-245 b,1512,17.4 Earths,12.212,2018
K2-246 b,2359,12 Earths,14.55,2018
K2-247 b,849,5.14 Earths,14.956,2018
K2-247 c,849,5.43 Earths,14.956,2018
K2-248 b,1339,7.13 Earths,13.402,2018
K2-249 b,1723,8.2 Earths,11.827,2018
K2-24 b,559,19 Earths,11.07,2016
K2-24 c,559,15.4 Earths,11.07,2016
K2-243 c,878,4.7 Earths,10.97,2018
K2-244 b,698,3.71 Earths,11.78,2018
K2-245 b,1512,17.4 Earths,12.212,2018
K2-246 b,2359,12 Earths,14.55,2018
K2-247 b,849,5.14 Earths,14.956,2018
K2-247 c,849,5.43 Earths,14.956,2018
K2-248 b,1339,7.13 Earths,13.402,2018
K2-249 b,1723,8.2 Earths,11.827,2018
K2-24 b,559,19 Earths,11.07,2016
K2-24 c,559,15.4 Earths,11.07,2016
K2-243 c,878,4.7 Earths,10.97,2018
K2-244 b,698,3.71 Earths,11.78,2018
K2-245 b,1512,17.4 Earths,12.212,2018
K2-246 b,2359,12 Earths,14.55,2018
K2-247 b,849,5.14 Earths,14.956,2018
K2-247 c,849,5.43 Earths,14.956,2018
K2-248 b,1339,7.13 Earths,13.402,2018
K2-249 b,1723,8.2 Earths,11.827,2018
K2-24 b,559,19 Earths,11.07,2016
K2-24 c,559,15.4 Earths,11.07,2016
K2-243 c,878,4.7 Earths,10.97,2018
K2-244 b,698,3.71 Earths,11.78,2018
K2-245 b,1512,17.4 Earths,12.212,2018
K2-246 b,2359,12 Earths,14.55,2018
K2-247 b,849,5.14 Earths,14.956,2018
K2-247 c,849,5.43 Earths,14.956,2018
K2-248 b,1339,7.13 Earths,13.402,2018
K2-249 b,1723,8.2 Earths,11.827,2018
K2-24 b,559,19 Earths,11.07,2016
K2-24 c,559,15.4 Earths,11.07,2016
K2-243 c,878,4.7 Earths,10.97,2018
K2-244 b,698,3.71 Earths,11.78,2018
K2-245 b,1512,17.4 Earths,12.212,2018
K2-246 b,2359,12 Earths,14.55,2018
K2-247 b,849,5.14 Earths,14.956,2018
K2-247 c,849,5.43 Earths,14.956,2018
K2-248 b,1339,7.13 Earths,13.402,2018
K2-249 b,1723,8.2 Earths,11.827,2018
K2-24 b,559,19 Earths,11.07,2016
K2-24 c,559,15.4 Earths,11.07,2016
K2-243 c,878,4.7 Earths,10.97,2018
